DateTime,Entries,UniqueIPs
1601338815,7360,7360
1601340740,7359,7359
1601342685,7329,7329
1601344577,7279,7279
1601346817,7246,7246
1601348925,7220,7220
1601350850,7185,7185
1601352817,7177,7177
1601354661,7136,7136
1601356577,7066,7066
1601358522,7040,7040
1601360419,7008,7008
1601362337,6935,6935
1601364296,6917,6917
1601366178,6898,6898
1601368094,6892,6892
1601370211,6893,6893
1601372069,6887,6887
1601374099,6858,6858
1601376042,6822,6822
1601378276,6769,6769
1601380185,6738,6738
1601382062,6734,6734
1601383950,6690,6690
1601385901,6508,6508
1601387789,6456,6456
1601389694,6402,6402
1601391920,6376,6376
1601393799,6340,6340
1601395694,6315,6315
1601397617,6252,6252
1601399563,6219,6219
1601401452,6211,6211
1601403327,6184,6184
1601405156,6182,6182
1601407031,6154,6154
1601408901,6117,6117
1601410842,6088,6088
1601412740,6118,6118
1601414668,5909,5909
1601416601,5907,5907
1601418497,5881,5881
1601420640,5892,5892
1601422573,5868,5868
1601424829,5868,5868
1601426677,5840,5840
1601428879,5785,5785
1601430768,5761,5761
1601432908,5722,5722
1601435124,5689,5689
1601436999,5661,5661
1601438905,5650,5650
1601440838,5609,5609
1601442997,5565,5565
1601444892,5542,5542
1601446816,5516,5516
1601448732,5474,5474
1601450739,5433,5433
1601452581,5453,5453
1601454493,5439,5439
1601457894,5475,5475
1601459810,5460,5460
1601461771,5464,5464
1601464579,5453,5453
1601466498,5475,5475
1601468484,5489,5489
1601470342,5500,5500
1601472331,5550,5550
1601474204,5572,5572
1601476099,5599,5599
1601478332,5636,5636
1601480177,5660,5660
1601482052,5685,5685
1601484019,5741,5741
1601486021,5767,5767
1601487944,5774,5774
1601489787,5832,5832
1601491941,5861,5861
1601493862,5910,5910
1601495817,5980,5980
1601497698,6004,6004
1601499837,5993,5993
1601501818,6000,6000
1601503693,6044,6044
1601505618,6096,6096
1601507561,6114,6114
1601509454,6166,6166
1601511430,6226,6226
1601513344,6272,6272
1601515367,6296,6296
1601517375,6313,6313
1601519298,6339,6339
1601521410,6350,6350
1601523399,6381,6381
1601525576,6406,6406
1601527464,6441,6441
1601529412,6487,6487
1601531729,6528,6528
1601533791,6564,6564
1601535904,6599,6599
1601537776,6625,6625
1601539890,6620,6620
1601541809,6625,6625
1601543794,6628,6628
1601545697,6627,6627
1601547610,6656,6656
1601549440,6659,6659
1601551509,6716,6716
1601553420,6601,6601
1601555295,6617,6617
1601557425,6621,6621
1601559375,6623,6623
1601561316,6645,6645
1601563216,6632,6632
1601565130,6642,6642
1601567078,6657,6657
1601569000,6690,6690
1601570923,6674,6674
1601572840,6686,6686
1601574760,6694,6694
1601576680,6679,6679
1601578626,6690,6690
1601580501,6702,6702
1601582700,6713,6713
1601584626,6736,6736
1601586497,6695,6695
1601588420,6676,6676
1601590337,6652,6652
1601592257,6669,6669
1601594198,6658,6658
1601596098,6655,6655
1601598037,6627,6627
1601599951,6637,6637
1601601861,6627,6627
1601603857,6620,6620
1601605724,6623,6623
1601607906,6629,6629
1601609830,6649,6649
1601611804,6669,6669
1601613621,6669,6669
1601615561,6702,6702
1601617455,6713,6713
1601619380,6754,6754
1601621347,6791,6791
1601623239,6796,6796
1601625137,6819,6819
1601627106,6830,6830
1601629058,6842,6842
1601631157,6853,6853
1601633166,6854,6854
1601634989,6879,6879
1601636964,6880,6880
1601638825,6859,6859
1601640748,6839,6839
1601642666,6865,6865
1601644583,6860,6860
1601646543,6837,6837
1601648434,6838,6838
1601650367,6845,6845
1601652297,6773,6773
1601654233,6781,6781
1601656122,6789,6789
1601658398,6784,6784
1601660467,6787,6787
1601662379,6786,6786
1601664350,6800,6800
1601666208,6781,6781
1601668118,6795,6795
1601670097,6793,6793
1601671972,6774,6774
1601673887,6773,6773
1601675851,6765,6765
1601677718,6741,6741
1601679979,6755,6755
1601681832,6750,6750
1601683942,6721,6721
1601685890,6729,6729
1601687806,6729,6729
1601689704,6734,6734
1601691642,6743,6743
1601693661,6723,6723
1601695485,6704,6704
1601697377,6663,6663
1601699299,6644,6644
1601701421,6615,6615
1601703405,6575,6575
1601705302,6541,6541
1601707219,6495,6495
1601709176,6468,6468
1601711074,6439,6439
1601712976,6384,6384
1601714922,6349,6349
1601716818,6329,6329
1601718740,6276,6276
1601720683,6256,6256
1601722596,6233,6233
1601724511,6232,6232
1601726454,6226,6226
1601728338,6174,6174
1601730190,6161,6161
1601732220,6141,6141
1601734105,6139,6139
1601736019,6122,6122
1601737958,6065,6065
1601739857,6061,6061
1601741774,6024,6024
1601743716,6009,6009
1601745612,6000,6000
1601747537,5966,5966
1601749479,5968,5968
1601751383,5956,5956
1601753293,5968,5968
1601755264,5993,5993
1601757142,6001,6001
1601759003,6003,6003
1601761000,6010,6010
1601762898,5987,5987
1601764825,5963,5963
1601766760,5933,5933
1601768659,5905,5905
1601770574,5927,5927
1601772516,5941,5941
1601774414,5920,5920
1601776334,5905,5905
1601778283,5886,5886
1601780182,5873,5873
1601782005,5865,5865
1601784143,5857,5857
1601785944,5855,5855
1601787862,5850,5850
1601789802,5856,5856
1601791698,5878,5878
1601793615,5878,5878
1601795569,5863,5863
1601797457,5857,5857
1601799373,5863,5863
1601801327,5877,5877
1601803215,5896,5896
1601805139,5894,5894
1601807085,5878,5878
1601808987,5913,5913
1601810898,5889,5889
1601812856,5889,5889
1601814738,5848,5848
1601816658,5893,5893
1601818607,6150,6150
1601820503,6200,6200
1601822421,6196,6196
1601824371,6174,6174
1601826257,6157,6157
1601828176,6257,6257
1601830124,6360,6360
1601832014,6361,6361
1601833936,6344,6344
1601835884,6341,6341
1601837787,6338,6338
1601839694,6540,6540
1601841677,6576,6576
1601843539,6581,6581
1601845392,6494,6494
1601847402,6483,6483
1601849298,6535,6535
1601851215,6636,6636
1601853163,6647,6647
1601855054,6653,6653
1601856970,6612,6612
1601858919,6609,6609
1601860813,6713,6713
1601862737,6772,6772
1601864686,6780,6780
1601866590,6781,6781
1601868500,6809,6809
1601870519,6821,6821
1601872346,6902,6902
1601874162,6956,6956
1601876196,6984,6984
1601878103,7024,7024
1601880012,7031,7031
1601881963,7091,7091
1601883855,7164,7164
1601885773,7204,7204
1601887722,7234,7234
1601889651,7278,7278
1601891535,7302,7302
1601893485,7361,7361
1601895373,7381,7381
1601897291,7392,7392
1601899333,7399,7399
1601901135,7431,7431
1601903057,7425,7425
1601905006,7403,7403
1601906894,7359,7359
1601908813,7384,7384
1601910766,7427,7427
1601912654,7433,7433
1601914575,7421,7421
1601916519,7409,7409
1601918412,7418,7418
1601920331,7459,7459
1601922283,7477,7477
1601924174,7468,7468
1601926091,7441,7441
1601928116,7402,7402
1601929934,7402,7402
1601931859,7418,7418
1601933799,7426,7426
1601935697,7382,7382
1601937617,7405,7405
1601939562,7388,7388
1601941458,7400,7400
1601943621,7402,7402
1601945534,7381,7381
1601947483,7343,7343
1601949375,7325,7325
1601951548,7310,7310
1601953467,7295,7295
1601955408,7268,7268
1601957299,7249,7249
1601959233,7242,7242
1601961170,7196,7196
1601963060,7199,7199
1601964979,7193,7193
1601966924,7158,7158
1601968823,7155,7155
1601970739,7098,7098
1601972688,7102,7102
1601974582,7082,7082
1601976507,7061,7061
1601978600,7009,7009
1601980602,6980,6980
1601982505,6950,6950
1601984420,6939,6939
1601986360,6904,6904
1601988258,6894,6894
1601990175,6883,6883
1601992118,6820,6820
1601994014,6821,6821
1601995938,6831,6831
1601997882,6831,6831
1601999782,6830,6830
1602001695,6844,6844
1602003801,6881,6881
1602005808,6900,6900
1602007697,6887,6887
1602009613,6867,6867
1602011560,6849,6849
1602013466,6880,6880
1602015373,6894,6894
1602017320,6884,6884
1602019270,6873,6873
1602021176,6862,6862
1602023096,6843,6843
1602024995,6827,6827
1602026922,6823,6823
1602028858,6830,6830
1602030755,6834,6834
1602032630,6811,6811
1602034586,6784,6784
1602036522,6804,6804
1602038421,6843,6843
1602040336,6806,6806
1602042301,6805,6805
1602044459,6786,6786
1602046389,6794,6794
1602048261,6790,6790
1602050223,6769,6769
1602052099,6755,6755
1602054161,6782,6782
1602055974,6776,6776
1602057870,6769,6769
1602059784,6768,6768
1602061728,6769,6769
1602063642,6763,6763
1602065547,6759,6759
