DateTime,AddedIPs,RemovedIPs
1601474206,9,13
1601476101,2,6
1601478335,6,11
1601480180,3,9
1601482054,4,2
1601484022,5,13
1601486024,17,7
1601488028,18,11
1601490034,23,14
1601491943,16,11
1601493865,21,17
1601495820,16,12
1601497704,15,14
1601499851,15,9
1601501821,16,4
1601503695,8,5
1601505620,13,14
1601507563,10,12
1601509456,10,10
1601511432,12,16
1601513370,15,14
1601515369,9,17
1601517381,12,5
1601519300,8,9
1601521432,9,7
1601523408,8,6
1601525581,10,7
1601527490,4,7
1601529414,5,7
1601531942,7,9
1601533872,4,7
1601536004,8,8
1601537830,10,191
1601539926,178,24
1601541863,24,3
1601543796,9,7
1601545701,8,6
1601547613,4,6
1601549443,3,4
1601551511,6,5
1601553426,12,3
1601555298,7,8
1601557473,8,12
1601559380,11,4
1601561318,10,8
1601563222,7,4
1601565131,7,2
1601567080,4,4
1601569003,6,5
1601570926,8,10
1601572842,4,11
1601574810,7,14
1601576682,5,13
1601578633,7,17
1601580504,6,22
1601582709,6,16
1601584628,6,14
1601586500,8,17
1601588421,8,17
1601590340,4,13
1601592259,8,10
1601594200,7,8
1601596101,4,11
1601598039,6,14
1601599954,2,12
1601601864,4,9
1601603863,12,11
1601605727,7,6
1601607965,13,5
1601609832,7,12
1601611808,10,8
1601613653,6,4
1601615563,5,3
1601617457,5,2
1601619383,5,8
1601621349,8,6
1601623242,5,13
1601625139,18,5
1601627109,7,6
1601629060,6,4
1601631159,5,14
1601633202,7,7
1601635215,4,5
1601637134,3,8
1601639082,6,9
1601640983,5,7
1601642917,4,9
1601644817,3,7
1601646739,2,12
1601648684,8,8
1601650584,4,10
1601652769,6,8
1601654732,4,4
1601656613,7,10
1601658553,5,4
1601660468,10,8
1601662381,4,12
1601664352,4,5
1601666210,4,6
1601668120,6,11
1601670099,8,8
1601671974,2,10
1601673892,6,6
1601675852,1,8
1601677719,3,6
1601679988,9,6
1601681833,4,9
1601683943,5,6
1601685892,10,8
1601687807,3,5
1601689706,5,11
1601691643,5,8
1601693662,9,12
1601695487,9,5
1601697378,17,8
1601699300,9,9
1601701423,14,7
1601703407,10,7
1601705304,12,7
1601707221,10,9
1601709178,10,6
1601711076,15,8
1601712978,10,4
1601714923,11,6
1601716820,14,8
1601718742,12,10
1601720685,6,5
1601722599,6,1
1601724514,6,4
1601726457,8,4
1601728340,6,6
1601730193,8,2
1601732222,6,2
1601734107,6,8
1601736021,1,3
1601737960,6,4
1601739862,7,6
1601741776,6,1
1601743718,13,7
1601745614,7,4
1601747542,11,11
1601749481,7,4
1601751387,10,5
1601753295,9,6
1601755269,9,8
1601757145,6,4
1601759006,9,4
1601761005,6,6
1601762902,7,6
1601764830,4,2
1601766762,10,8
1601768661,4,4
1601770576,7,4
1601772518,7,7
1601774416,5,2
1601776335,5,6
1601778285,6,6
1601780187,5,8
1601782010,4,12
1601784163,11,12
1601786235,7,16
1601788122,8,9
1601790039,7,10
1601791984,7,12
1601793889,8,7
1601795816,9,8
1601797741,7,10
1601799630,16,6
1601801562,18,7
1601803525,10,11
1601805411,17,7
1601807304,7,8
1601809401,12,7
1601811400,10,5
1601813292,11,7
1601815216,19,6
1601817170,12,9
1601819052,7,6
1601820972,9,4
1601822925,6,3
1601824814,5,6
1601826730,9,7
1601828681,9,7
1601830574,12,10
1601832498,3,9
1601834539,3,13
1601836607,5,4
1601838500,2,10
1601840420,4,7
1601842368,2,9
1601844259,9,7
1601846183,4,5
1601848125,9,7
1601850027,6,4
1601851947,8,7
1601853886,14,8
1601855785,9,4
1601857699,5,10
1601859809,9,7
1601861797,6,5
1601863698,10,5
1601865617,8,7
1601867557,9,5
1601869453,2,10
1601871372,11,5
1601873317,8,9
1601875210,13,9
1601877131,13,7
1601879084,6,6
1601880975,7,4
1601882897,5,24
1601884939,27,4
1601886996,6,12
1601888894,6,15
1601890812,5,10
1601892766,9,17
1601894650,5,11
1601896574,6,11
1601898518,6,13
1601900413,3,11
1601902333,5,8
1601904280,7,13
1601906171,6,12
1601908095,3,9
1601910120,0,8
1601911933,1,7
1601914096,0,11
1601916014,1,7
1601917964,1,12
1601919853,1,5
1601921779,1,4
1601923716,1,3
1601925608,2,4
1601927529,1,5
1601929483,3,10
1601931371,5,3
1601933288,4,6
1601935290,4,9
1601937139,7,8
1601939053,15,10
1601940995,12,13
1601942891,8,10
1601944809,6,6
1601946762,9,5
1601948658,7,5
1601950577,7,7
1601952518,5,7
1601954412,9,10
1601956314,6,9
1601958287,8,12
1601960185,14,7
1601962097,5,10
1601964118,5,8
1601965968,5,7
1601967870,3,9
1601969806,9,241
1601971706,244,8
1601973622,10,1
1601975571,4,6
1601977470,6,9
1601979385,4,5
1601981328,7,4
1601983221,6,7
1601985143,3,5
1601987087,1,7
1601988981,0,4
1601990901,9,9
1601992864,3,8
1601994747,3,3
1601996672,1,1
1601998608,4,1
1602000505,1,0
1602002428,0,2
1602004366,3,1
1602006260,11,0
1602008180,7,1
1602010135,9,1
1602012023,11,1
1602013941,9,1
1602015887,3,4
1602017784,8,5
1602019731,5,5
1602021648,5,5
1602023545,10,8
1602025487,5,12
1602027386,12,10
1602029306,7,7
1602031246,2,6
1602033386,11,5
1602035299,9,4
1602037247,4,6
1602039144,10,4
1602041062,10,8
1602043019,11,4
1602044903,7,12
1602047011,10,8
1602049219,8,6
1602051138,6,7
1602053088,10,9
1602054973,17,5
1602056893,17,62
1602058841,66,8
1602060735,15,7
1602062659,20,4
1602064596,11,6
1602066494,11,4
